size,index,value,update_ns
2000,1312,2086,286
2000,1845,9807,288
2000,1167,4169,478
2000,1244,9607,352
2000,619,8304,381
2000,1845,8680,242
2000,593,8772,278
2000,1731,6366,331
2000,1389,8486,421
2000,1582,6685,346
2000,156,6985,595
2000,1028,550,511
2000,1010,4292,357
2000,1034,6262,352
2000,1552,9832,468
2000,113,588,352
2000,1855,3376,424
2000,1175,1485,387
2000,681,1075,474
2000,478,335,334
2000,489,4703,362
2000,1345,3,424
2000,786,6286,339
2000,1517,2981,410
2000,1931,4961,373
2000,1779,7548,300
2000,1983,6083,325
2000,1493,5472,410
2000,855,7900,375
2000,127,2683,355
2000,1312,2086,322
2000,1845,9807,340
2000,1167,4169,372
2000,1244,9607,378
2000,619,8304,406
2000,1845,8680,299
2000,593,8772,320
2000,1731,6366,272
2000,1389,8486,406
2000,1582,6685,397
2000,156,6985,656
2000,1028,550,519
2000,1010,4292,394
2000,1034,6262,362
2000,1552,9832,399
2000,113,588,385
2000,1855,3376,419
2000,1175,1485,348
2000,681,1075,450
2000,478,335,380
2000,489,4703,336
2000,1345,3,449
2000,786,6286,390
2000,1517,2981,377
2000,1931,4961,389
2000,1779,7548,293
2000,1983,6083,302
2000,1493,5472,418
2000,855,7900,401
2000,127,2683,366
2000,1312,2086,343
2000,1845,9807,286
2000,1167,4169,407
2000,1244,9607,351
2000,619,8304,377
2000,1845,8680,305
2000,593,8772,372
2000,1731,6366,273
2000,1389,8486,434
2000,1582,6685,337
2000,156,6985,666
2000,1028,550,532
2000,1010,4292,376
2000,1034,6262,374
2000,1552,9832,430
2000,113,588,428
2000,1855,3376,498
2000,1175,1485,402
2000,681,1075,524
2000,478,335,357
2000,489,4703,412
2000,1345,3,463
2000,786,6286,353
2000,1517,2981,411
2000,1931,4961,387
2000,1779,7548,291
2000,1983,6083,318
2000,1493,5472,417
2000,855,7900,418
2000,127,2683,385
2000,1312,2086,347
2000,1845,9807,337
2000,1167,4169,385
2000,1244,9607,372
2000,619,8304,388
2000,1845,8680,312
2000,593,8772,313
2000,1731,6366,329
2000,1389,8486,467
2000,1582,6685,337
2000,156,6985,670
2000,1028,550,549
2000,1010,4292,376
2000,1034,6262,375
2000,1552,9832,428
2000,113,588,392
2000,1855,3376,434
2000,1175,1485,367
2000,681,1075,472
2000,478,335,368
2000,489,4703,376
2000,1345,3,569
2000,786,6286,371
2000,1517,2981,470
2000,1931,4961,388
2000,1779,7548,296
2000,1983,6083,334
2000,1493,5472,430
2000,855,7900,378
2000,127,2683,357
2000,1312,2086,341
2000,1845,9807,330
2000,1167,4169,410
2000,1244,9607,374
2000,619,8304,363
2000,1845,8680,305
2000,593,8772,267
2000,1731,6366,289
2000,1389,8486,432
2000,1582,6685,405
2000,156,6985,622
2000,1028,550,492
2000,1010,4292,391
2000,1034,6262,353
2000,1552,9832,421
2000,113,588,351
2000,1855,3376,459
2000,1175,1485,380
2000,681,1075,459
2000,478,335,392
2000,489,4703,353
2000,1345,3,427
2000,786,6286,389
2000,1517,2981,449
2000,1931,4961,384
2000,1779,7548,305
2000,1983,6083,342
2000,1493,5472,460
2000,855,7900,416
2000,127,2683,339
2000,1312,2086,565
2000,1845,9807,382
2000,1167,4169,583
2000,1244,9607,506
2000,619,8304,445
2000,1845,8680,308
2000,593,8772,273
2000,1731,6366,305
2000,1389,8486,436
2000,1582,6685,359
2000,156,6985,717
2000,1028,550,536
2000,1010,4292,378
2000,1034,6262,347
